R,G,B
0.978013541810915,0.5582232893157262,0.8283731281722131
0.9892604327286723,0.21248499399759901,0.8642776756106989
1.0,0.22208883553421369,0.898676260331414
0.8953887626968324,0.24009603841536614,0.9076260448772435
0.7018756183956434,0.25690276110444177,0.8237430959871828
0.5855451711003017,0.24729891956782712,0.7326638049689794
0.5229800795289528,0.21008403361344535,0.6665217111592233
0.504078644533509,0.24489795918367346,0.6348386283524651
0.5321936035991541,0.24729891956782712,0.6380405411677019
0.6002398541125906,0.25810324129651857,0.6686941633679153
0.7083864476898238,0.29891956782713086,0.7232178207575362
0.7218362001669885,0.28931572629051616,0.7527315853605322
0.7311195434829898,0.2665066026410564,0.7886775283364723
0.7463580738994828,0.2857142857142857,0.8186694087298281
0.755229232577614,0.2797118847539015,0.8424977816579573
0.7569214367218304,0.3025210084033613,0.8652016469449293
0.7671235498290496,0.3289315726290516,0.8897349309307989
0.7667427194973921,0.3409363745498199,0.9092663697212555
0.7713543344870217,0.29531812725090034,0.93248535872914
0.7666604091686313,0.3649459783913565,0.948123976647369
0.7099304046231012,0.4489795918367347,0.9534191246956281
0.4976978322210819,0.3469387755102041,0.9024823826247139
0.3422307753318581,0.3085234093637455,0.8190307795025088
0.28126186270447207,0.4429771908763505,0.7642706047621298
0.28427280449224845,0.4621848739495798,0.7455043832859756
0.3470155774987411,0.39015606242497,0.7586007497499997
0.45655486352658414,0.35534213685474186,0.7935850333154059
0.5094518990866508,0.36734693877551017,0.8181674078210466
0.539003986786545,0.3409363745498199,0.8439145919376216
0.5275219174723862,0.39015606242497,0.8543445069988864
0.5485283953437889,0.9999999999999999,0.8782293987052798
0.5666991652854918,0.31812725090036015,0.8965910801578707
0.5679016641181978,0.382953181272509,0.907278637096739
0.5953295714214484,0.3289315726290516,0.9325081102713104
0.6181914182082302,0.3205282112845138,0.9522952438554566
0.6117868897180223,0.37334933973589435,0.9603984469845324
0.6160898567996504,0.3397358943577431,0.9755067645962745
0.5235670549290514,0.28331332533013204,0.9727337570259056
0.2914398587376681,0.25210084033613445,0.8839559458661594
0.14930420553452528,0.304921968787515,0.7750232289778151
0.08517992297263888,0.2557022809123649,0.693682518205768
0.08335755414805313,0.22088835534213686,0.6517305281739841
0.12615578123294569,0.25210084033613445,0.6475693564626276
0.22301765194690226,0.30012004801920766,0.6721721086684069
0.3522243590929772,0.3013205282112845,0.7147677432956032
0.42057898321698595,0.4501800720288115,0.7471581643468984
0.46145510271183277,0.39855942376950776,0.7775820306452871
0.48797892568626366,0.3037214885954382,0.8038649428981635
0.4992185582720303,0.27731092436974786,0.8250540569173703
0.5180833218110834,0.3217286914765906,0.8483293113158863
0.5338182039768107,0.40936374549819926,0.8679281645528092
0.5499687100481836,0.3637454981992797,0.8886043419864587
0.5673066918930285,0.3097238895558223,0.9100417225408624
0.5768349406142903,0.3361344537815126,0.9288097043942536
0.49917644306664677,0.32533013205282113,0.9336471276884828
0.2967206961567488,0.3349339735894358,0.8616647556793771
0.1532377150779336,0.30012004801920766,0.7603424429832484
0.10260519469958673,0.2797118847539015,0.6871164044647007
0.08929202124268976,0.2665066026410564,0.6411714254286598
0.13069825217044695,0.24969987995198079,0.636474258857178
0.2585327547739418,0.8175270108043217,0.6700794602277971
0.3858683736519257,0.31212484993997597,0.7254388033659692
0.45796646140005315,0.290516206482593,0.7668319269697368
0.5200249256184488,0.3325330132052821,0.8033767716196463
0.5639531948149603,0.3277310924369748,0.8380985322614734
0.5944950531408022,0.36134453781512604,0.8737120706719979
0.6375599606269251,0.34933973589435774,0.9013612623761187
0.6707143753733735,0.25930372148859543,0.9333178437918055
0.716609420441392,0.32292917166866747,0.970686491643916
0.7369011636097866,0.3085234093637455,0.9926044551840496
0.7215491584565399,0.3961584633853541,1.0
0.6467962302840018,0.43457382953181267,0.9977651610889202
0.37762666427591896,0.29891956782713086,0.9073018954141745
0.23560355741822825,0.3481392557022809,0.7956986995933315
0.15163556488992036,0.3721488595438175,0.7105830865515608
0.10543448828938828,0.37454981992797115,0.6640695723488905
0.12059100377435428,0.3397358943577431,0.6527486663542086
0.18545789387808043,0.28931572629051616,0.6588805803825054
0.24812234441844438,0.2857142857142857,0.6870736352995538
0.3019946339404793,0.29891956782713086,0.7112740746256985
0.3178571699101038,0.3289315726290516,0.7303051795312723
0.4091651506634548,0.3769507803121248,0.7786351896635769
0.42737885870283243,0.32533013205282113,0.7951554898537724
0.4692153567990278,0.3481392557022809,0.8195544383857831
0.467182285348704,0.38055222088835533,0.8287250702577224
0.48592049227358025,0.3769507803121248,0.849146446422492
0.514138080777597,0.33013205282112845,0.8719113647927326
0.5031428472018362,0.3133253301320528,0.8805468953293565
0.3784914818726648,0.36254501800720285,0.86903074749565
0.2134136760351968,0.3037214885954382,0.7896679672475947
0.08075077907327533,0.6482593037214885,0.6853814460080032
0.023365773365039644,0.20168067226890754,0.6072235106168351
0.0,0.2076830732292917,0.5573706408125219
0.00995649030868151,0.17527010804321727,0.5361555478928764
0.09014903191258661,0.16686674669867946,0.548632594974219
0.18477185490619696,0.19807923169267705,0.5720826201582825
0.2373090755376932,0.2749099639855942,0.596979955491262
0.28970824016276,0.30612244897959184,0.6281859227219998
0.3424934678704563,0.30012004801920766,0.6587830528163315
0.39000028463633285,0.4237695078031212,0.6902529699431057
0.4350863843840873,0.44777911164465783,0.7230655347903353
0.4702702414148643,0.30012004801920766,0.7514544850197765
0.5003674636069029,0.3529411764705882,0.7814001555106582
0.5321404742969698,0.2677070828331332,0.8135677021347828
0.5489321822603461,0.29411764705882354,0.8358832442066786
0.4533973836118559,0.38655462184873945,0.8345080295073366
0.28328495394831066,0.32533013205282113,0.7727112535368912
0.19229684619778098,0.3589435774309724,0.7008532415106341
0.14612414883133873,0.35534213685474186,0.64799864845704
0.1389572633843379,0.31212484993997597,0.6240945926439063
0.17635501717112412,0.28451380552220884,0.6260658950808765
0.27098149043053255,0.3409363745498199,0.6508522332945801
0.34080476629342016,0.41056422569027606,0.6774688703958
0.3811161917793946,0.42857142857142855,0.7000163955134492
0.4139736479083158,0.3517406962785114,0.723782461756338
0.4423168646352096,0.40576230492196874,0.7449826581504239
0.4671116221108118,0.39855942376950776,0.7646913215856069
0.49013152751660094,0.3769507803121248,0.7849820030767126
0.5140333202591929,0.31092436974789917,0.8079076358869863
0.5393126768941485,0.3241296518607443,0.8330316464616258
0.5644351353992256,0.6266506602641055,0.8609039659805497
0.583589535924407,0.25930372148859543,0.8863607011891934
0.5176661787196721,0.28451380552220884,0.8923781506885049
0.33760415838279556,0.25810324129651857,0.8297307124268016
0.24345156558317527,0.30012004801920766,0.7567595818666635
0.2163225580792627,0.4129651860744297,0.7068424449570047
0.253706470395743,0.37334933973589435,0.699140261097018
0.32180447872421425,0.33733493397358943,0.7116499151658205
0.40452840580929106,0.40456182472989194,0.7346768630205662
0.4623656857797602,0.3769507803121248,0.759386651496838
0.492695807589552,0.37334933973589435,0.776757653986865
0.5000611788767593,0.36974789915966383,0.7871092322610787
0.5199784216541872,0.368547418967587,0.8048163201052897
0.5336392354537285,0.48979591836734687,0.8215626553999678
0.5457668321193605,0.36134453781512604,0.8372630999005546
0.56032345912522,0.3349339735894358,0.8528779927346564
0.5699780745624388,0.4033613445378151,0.8672420441884559
0.5819111099510916,0.33013205282112845,0.8847656927228458
0.5999891673615014,0.2821128451380552,0.9047477747498103
0.5877710314442126,0.33733493397358943,0.9154713927496569
0.4229145203332365,0.2809123649459784,0.8831082042007721
0.30887188240134833,0.35534213685474186,0.8231362326070728
0.2653749353633934,0.4021608643457383,0.7796904024553101
0.28203827212959354,0.33733493397358943,0.7661856951532333
0.3264188366881413,0.2965186074429772,0.7689210813282548
0.37831831579521236,0.31452581032412963,0.7762925009743421
0.4088398972110472,0.3589435774309724,0.7842856938622901
0.4291986111519339,0.4789915966386554,0.7949663693265042
0.44488677835537516,0.4141656662665066,0.8074439631916855
0.46168855092444616,0.3889555822328931,0.8216714653838886
0.4847216859062744,0.651860744297719,0.8394405398447518
0.500761713412821,0.33133253301320525,0.8552949373364382
0.4652228944080026,0.3709483793517407,0.8531716556646645
0.45723843382159934,0.37815126050420167,0.8590791349314215
0.45691081719133386,0.39015606242497,0.8714686032452181
0.4503183949616716,0.43697478991596633,0.8805343993182111
0.422802480383039,0.4153661464585834,0.8867177510359285
0.2590731418105694,0.29891956782713086,0.8528071775594364
0.12498792827561012,0.47178871548619444,0.7932613906276021
0.10079428306764626,0.35054021608643454,0.7612282994830571
0.13511589667755963,0.5222088835534213,0.75808946685215
0.18995856610723116,0.34933973589435774,0.7669033556097514
0.26329202618004466,0.39015606242497,0.7807947724477704
0.3203233359023745,0.36134453781512604,0.8017768687711319
0.3542998833455222,0.48259303721488594,0.8212887300329211
0.3899748804743677,0.3997599039615846,0.8446074870870994
0.40571427799778625,0.44177671068427365,0.8588910946356398
0.43839090882102383,0.34933973589435774,0.8772333585938576
0.4470721270788758,0.4561824729891957,0.8850223610584924
0.4552276015628962,0.3169267707082833,0.8936606788590749
0.4033159267700981,0.32653061224489793,0.8815635932009322
0.4029624839818222,0.3169267707082833,0.887797942513761
0.4003324147253071,0.39735894357743096,0.8953705919487174
0.3795341919025752,0.30012004801920766,0.9013391376349342
0.1720803449243764,0.4921968787515006,0.8407079581107033
0.05340028694465104,0.3097238895558223,0.7669642619949171
0.006451623248935334,0.453781512605042,0.7144436338411079
0.010697241067921581,0.3577430972388955,0.6867151184717877
0.03691488481122107,0.36614645858343337,0.6736010282096718
0.12408458243987042,0.26410564225690275,0.6836393126804453
0.21398556507665312,0.5954381752701079,0.7014306719167872
0.2603310276243036,0.2929171668667467,0.7203413776882961
0.29321682078771083,0.44777911164465783,0.7387087937030986
0.32227696659704996,0.5006002400960383,0.7556831511947467
0.355954403242837,0.4993997599039615,0.7740403116785239
0.3852793093713984,0.3997599039615846,0.793871614727892
0.41249014190862,0.5054021608643456,0.8136038832214818
0.42652564599734966,0.39735894357743096,0.8274773362099676
0.4450873108764064,0.4237695078031212,0.8441448412785204
0.46582444977148896,0.3649459783913565,0.8650149669406488
0.43422144018852826,0.432172869147659,0.8746228258407589
0.24021472931200805,0.3517406962785114,0.8131295282370377
0.1062396356452382,0.3637454981992797,0.717130756340212
0.0594671130990978,0.226890756302521,0.6485789328081079
0.07891423118154606,0.22328931572629052,0.6195871067197226
0.1195752803915795,0.2701080432172869,0.6130273143332795
0.1736746670857361,0.24129651860744294,0.6170133685181176
0.23122893540799794,0.3349339735894358,0.6333126880202915
0.27273387121089954,0.31812725090036015,0.6505022116206022
0.31317052402350676,0.3481392557022809,0.6699925749421929
0.3468300891367484,0.4021608643457383,0.687908400850913
0.38664214560176013,0.4201680672268907,0.7104381354895145
0.4183172110095654,0.4573829531812725,0.7312191620583013
0.44778971025519354,0.40456182472989194,0.7516874682798692
0.4746622496621864,0.3445378151260504,0.7723452417696762
0.4926280772241789,0.4309723889555822,0.789176395240324
0.5104153582591344,0.3709483793517407,0.8073644661560008
0.4800371921995126,0.28331332533013204,0.811126779061241
0.2853671035387766,0.290516206482593,0.7507191674461225
0.16641755888411502,0.3277310924369748,0.6650107473697563
0.1288448033370777,0.4813925570228091,0.6025757279613305
0.14975339922562547,0.18607442977190874,0.5815095736248973
0.21350292819891337,0.19447779111644656,0.5857438543363586
0.27385005075240976,0.24609843937575027,0.5962385832868078
0.3175553583380477,0.29531812725090034,0.611724915237836
0.3559815586883932,0.3325330132052821,0.6335357491541387
0.389998638851754,0.28931572629051616,0.6563625341153106
0.42460953075115704,0.2785114045618247,0.6802043232517774
0.45645219188860686,0.34933973589435774,0.7046818486222808
0.48434281785623057,0.45258103241296516,0.7277647417990692
0.5271165058710512,0.34333733493397356,0.756793202404654
0.5510795091401075,0.47539015606242496,0.7801729325249539
0.5270535440609976,0.40576230492196874,0.7862247493889624
0.5163098412284182,0.34213685474189676,0.7974819750707112
0.48267420329098343,0.33133253301320525,0.802254384432888
0.27509937004641216,0.2737094837935174,0.7483929222806253
0.11036793856345284,0.2929171668667467,0.6587176654709259
0.051136067160165055,0.1764705882352941,0.5933831580548834
0.03594074913877421,0.18127250900360142,0.5553607167658647
0.06256006981840123,0.18607442977190874,0.5452273319157139
0.1583621607623904,0.15966386554621848,0.559815724777715
0.24814471020888007,0.21968787515006002,0.5844379744950144
0.3154956167376213,0.25810324129651857,0.6121073038478325
0.35690060277704205,0.29891956782713086,0.6340615551641946
0.3866664103744011,0.39735894357743096,0.6512886734874705
0.4156623283855492,0.39255702280912363,0.6666557132083024
0.4454998120113114,0.3205282112845138,0.6849521406773995
0.48184814603105686,0.4693877551020408,0.7088265234651351
0.5090903750740949,0.40936374549819926,0.7309509312448929
0.5326615972140996,0.3565426170468187,0.7507323702754009
0.5551665197452262,0.7010804321728691,0.7719381812059779
0.5276136805125748,0.3205282112845138,0.7762493450596506
0.3694753464529512,0.25330132052821125,0.7345549435607054
0.2455337995728506,0.3097238895558223,0.6603102200780946
0.18420534631432517,0.2617046818727491,0.6029606771200356
0.19481291322248495,0.23649459783913562,0.5841631422669669
0.24579666090986763,0.18967587034813924,0.5912886558836982
0.336195408982638,0.2076830732292917,0.6181009082372958
