R,G,B
0.9905015058724267,0.13101604278074866,0.0
0.9999478414735066,0.04010695187165775,0.0027151623647852507
1.0,0.0267379679144385,0.0058127403392703725
0.9959094593588311,0.04010695187165775,0.008463993730368158
0.9937727968025172,0.01336898395721925,0.012922740557068435
0.9904853662529085,0.0374331550802139,0.015599672896799532
0.9874762457276738,0.02406417112299465,0.019993933954020993
0.985224047114567,0.0374331550802139,0.023248884892232424
0.9812560626086011,0.029411764705882346,0.027307358511530933
0.9790847589177147,0.0481283422459893,0.0314551201193386
0.9788841946215037,0.045454545454545456,0.03552568337842493
0.9762502218377591,0.029411764705882346,0.03907793793935688
0.9769114869805442,0.07754010695187165,0.04315334628309103
0.9759896916381336,0.021390374331550797,0.0465933102393527
0.9730766871397094,0.021390374331550797,0.05062617412551296
0.9691468210034166,0.029411764705882346,0.05372882790296246
0.966848827860133,0.0481283422459893,0.057780841409397266
0.9647935850917158,0.0267379679144385,0.06077946429790937
0.9627204312821256,0.029411764705882346,0.06307072789967705
0.9573428543966855,0.07219251336898395,0.06561538942852363
0.955964360308478,0.058823529411764705,0.06845569340821156
0.9581909061116995,0.029411764705882346,0.0729355278890455
0.9622168882747957,0.0374331550802139,0.07729278172829063
0.9617673408238225,0.016042780748663096,0.08124177950638095
0.961740310241538,0.02406417112299465,0.08574473196253435
0.9633804498689322,0.002673796791443847,0.09066110857013338
0.9628893724213938,0.056149732620320844,0.09431776316930923
0.9599157459374581,0.0267379679144385,0.09758392701770552
0.9578777581281201,0.0481283422459893,0.10177557124932307
0.9559995919169388,0.08288770053475936,0.1060323472617058
0.9448686999306837,0.3074866310160428,0.11168513059210444
0.9431061353845074,0.045454545454545456,0.11572563125454288
0.9395574529449711,0.01871657754010695,0.12054713649037202
0.9344774748974771,0.029411764705882346,0.12447919954402681
0.92966347253099,0.06149732620320855,0.12775447676592727
0.9244461765011742,0.045454545454545456,0.13190655280625457
0.9229536553449869,0.05080213903743315,0.13618670058410492
0.9226559908988285,0.056149732620320844,0.13849026147214533
0.921009749707963,0.0,0.1408361130276113
0.9177021118298505,0.07754010695187165,0.14306056060490285
0.9177423952704338,0.01871657754010695,0.14627813517583138
0.9190107987832299,0.07754010695187165,0.14948774996483855
0.915475631634834,0.08288770053475936,0.15239796159444446
0.9134012312692654,0.056149732620320844,0.15544307422374365
0.9112543338322823,0.053475935828877,0.1590712120389925
0.906227039176958,0.01871657754010695,0.1616709229581706
0.9046853774719139,0.042780748663101595,0.16495358316620096
0.8962679098110193,0.034759358288770054,0.1664876061811837
0.8969536468159198,0.029411764705882346,0.1695619046775278
0.8999012268407114,0.06684491978609625,0.1747668637554814
0.9016008731140523,0.045454545454545456,0.17832004118967965
0.9044237975409395,0.03208556149732619,0.1829616553540862
0.9054160561002682,0.045454545454545456,0.18697765373130576
0.9046845901733995,0.0481283422459893,0.19043074555977985
0.9074475486968723,0.06951871657754011,0.19426985220369214
0.9101639253916574,0.0855614973262032,0.1976409467424604
0.9092329448999301,0.01871657754010695,0.20086006712610988
0.9079965581933322,0.034759358288770054,0.20350486040434396
0.9087758525048706,0.029411764705882346,0.2068883445167115
0.9082914014864834,0.045454545454545456,0.21063119547895465
0.9030644610498832,0.2085561497326203,0.2156920017527209
0.9010697090505531,0.053475935828877,0.217107112547348
0.9023449358171298,0.056149732620320844,0.22013561345785476
0.9012398311375911,0.053475935828877,0.22192755647892098
0.8983587122289443,0.021390374331550797,0.2249078834049298
0.8980010818793716,0.010695187165775395,0.22587117852023547
0.8952876575540145,0.021390374331550797,0.22763278208267396
0.8931610330537438,0.06149732620320855,0.22937968888834742
0.8899716211690141,0.04010695187165775,0.23134697783000008
0.8895157753299365,0.053475935828877,0.23249639341127554
0.8878167851386891,0.02406417112299465,0.23362366003416107
0.886320983572034,0.03208556149732619,0.2351443475304465
0.8813262305885807,0.029411764705882346,0.23629620872587748
0.8798764859849371,0.06951871657754011,0.23751560117256582
0.8742185652206302,0.002673796791443847,0.23776500767276837
0.8757801062131314,0.02406417112299465,0.2388581510566345
0.8768478798215078,0.034759358288770054,0.24227425873896385
0.8769947109941967,0.042780748663101595,0.2466444789475996
