R,G,B
1.0,4.01591550432615e-06,0.08649106205103241
0.9858478690898043,1.775457380859985e-07,0.08008536078759276
0.9778827242681869,1.3696385509491295e-06,0.0656428081015542
0.9649339461895385,7.524557471263736e-07,0.053050035918053684
0.9574365546177575,6.425464806921841e-07,0.04620368840542888
0.9473904175199968,0.0,0.03216362283053931
0.9307548573903812,2.705458866072358e-07,0.0217759177956226
0.9191289842281885,1.1836382539066553e-07,0.02479722134356077
0.92046444458731,8.454558956476109e-07,0.020192777478006962
0.914765113758798,9.80728838951229e-07,0.015513742664150065
0.9093720797218894,9.89183397907705e-07,0.009346244835326978
0.9127249616771951,9.63819721038276e-07,0.007643227970517974
0.917567525901108,1.5810025248610323e-06,0.006645079280939381
0.9237586193463949,1.6993663502516974e-06,0.00632038114207778
0.9241124961314995,1.9276394420765524e-06,0.012446383622658597
0.9267341659088517,2.680095189202926e-06,0.012693282918788351
0.9309468109721726,1.978366795815409e-06,0.012742684492991985
0.9329810727308603,2.9590956347666375e-06,0.022387105583087652
0.9304916131650005,8.97028705282115e-06,0.029843446559405407
0.9278593949488307,4.548552718584146e-06,0.03772761207763764
0.9283483010857134,8.091012921347634e-06,0.04152210701691772
0.9274755531295593,1.4364295667052907e-05,0.04296307345344874
0.9240534528788213,2.1339306806145695e-05,0.04530016766627787
0.9217049409923597,2.6741769979333927e-05,0.04332485485190729
0.9181983598820578,2.3266946248222248e-05,0.038755826140847494
0.9177900512856692,1.600448010460927e-05,0.027620839631129268
0.9189667156335153,1.6156662165825842e-05,0.024214924346843913
0.9150927408005778,1.8498574996769722e-05,0.030034301472252833
0.9149336927469593,1.7856028516077537e-05,0.025088508028140777
0.9185663136987898,1.913266691850543e-05,0.019554781563561496
0.9256128668624495,3.121423166730979e-05,0.014887966359867333
0.9282226813147574,5.630736265013087e-06,0.007074137628403254
0.9329206385778415,4.007460945369675e-06,0.00209083649558528
0.9317276754917856,5.5208269985788975e-06,0.007898892221271603
0.9288446004646707,8.175558510912395e-06,0.01118423015681147
0.9297386133266903,8.758923078909247e-06,0.011359667435511867
0.9309401831920301,5.985827741185084e-06,0.014946616540470248
0.9310591751828428,1.1734927831588837e-05,0.015747060228790466
0.9330184590118051,6.603010545007839e-06,0.011757525308238925
0.9372879722957297,5.605372588143658e-06,0.006892600415066008
0.941107636671104,3.6608240281541546e-06,0.00047458083701990006
0.9415467971173115,3.6777331460671067e-06,0.00775735004862832
0.9432180712269238,5.106553609711569e-06,0.012538682148208746
0.9483656160213121,3.9313699147613895e-06,0.009428988770701419
