R,G,B
0.8896343563489184,1.3134046074233628e-06,0.2617222701275042
0.893056837033499,1.9701069111350443e-06,0.2387420206276525
0.852744441066914,0.0,0.3224212148589042
0.7697263395535057,0.0,0.44103050261688553
0.7227145961558525,1.3134046074233628e-06,0.4419887987355291
0.7063095473541647,0.0,0.41760567686163447
0.6958460312236658,6.567023037116814e-07,0.41118046424504034
0.6963684713548348,5.253618429693451e-06,0.3953242920923141
0.7070371607046582,6.567023037116814e-07,0.38876536373823484
0.736384675019421,2.6268092148467256e-06,0.414673645028146
0.7631073217868627,0.0,0.43955505802634426
0.8306510453103284,0.0,0.5335549357393022
0.8447868536915681,5.253618429693451e-06,0.4944196536990973
0.8603057317435034,5.253618429693451e-06,0.49589452685486296
0.8790635035244518,4.5969161259817696e-06,0.5035614672387871
0.9013713790701967,1.9701069111350443e-06,0.45152833087902094
0.9195707151757349,0.0,0.44347738632590866
0.8969299880165122,1.3134046074233628e-06,0.3434860149910199
0.908487945696538,6.567023037116814e-07,0.34529746322960075
0.9216317815957975,0.0,0.3594199022732247
0.9262611847199782,1.3134046074233628e-06,0.37843553730011925
0.9344260749012099,1.3134046074233628e-06,0.35142095828468994
0.9361773556193551,1.9701069111350443e-06,0.37147031882060433
0.9408670232774599,3.940213822270089e-06,0.34311286808256775
0.908800275839539,5.910320733405133e-06,0.32413151914220784
0.8591595993202246,5.910320733405133e-06,0.38759620818740315
0.7536127260552679,0.0,0.5344800886409623
0.6956088174065655,1.9701069111350443e-06,0.6690095492465347
0.6703778353958469,1.9701069111350443e-06,0.7129203117062414
0.6595274535927826,1.9701069111350443e-06,0.6217970366535408
0.650102539592817,2.3641282933620532e-05,0.5784828520995371
0.6579679601213071,1.9701069111350443e-06,0.6176535630958279
0.6748159214418195,3.283511518558407e-06,0.6312925683193131
0.7504572595711299,3.940213822270089e-06,0.7414086210078852
0.76693706515813,1.9701069111350443e-06,0.765524882841585
0.793270426268279,6.567023037116814e-07,0.6835394212851453
0.8157707528279321,6.567023037116814e-07,0.6762399134619176
0.8356828988087122,6.567023037116814e-07,0.6713895750868152
0.8524428556560979,6.567023037116814e-07,0.6646975024300263
0.8702360491821652,1.3134046074233628e-06,0.5976750604720851
0.8820874887812966,6.567023037116814e-07,0.5909298443811676
0.8942823034703435,1.9701069111350443e-06,0.5976870606023722
0.9050008859909795,2.6268092148467256e-06,0.5488276729861639
0.9121983215926273,1.9701069111350443e-06,0.49236648855044707
0.9234955155470468,1.9701069111350443e-06,0.49877627242810063
0.934100538555847,1.3134046074233628e-06,0.5117301273556684
0.9425655621570588,2.6268092148467256e-06,0.46010842403431806
0.8985628001109482,6.567023037116814e-07,0.4314801132126577
0.8384396762663355,1.3134046074233628e-06,0.4977968332227607
0.7524917753016247,1.3134046074233628e-06,0.6750090429553235
0.7062157487461782,2.6268092148467256e-06,0.7375457219249808
0.6807884990599256,1.9701069111350443e-06,0.8602573399368335
0.6749363675387618,2.6268092148467256e-06,0.8143454128930542
0.673848425376784,1.9701069111350443e-06,0.8433165845800611
0.6885346212556582,0.0,0.8195511836985658
0.7651727718363999,6.567023037116814e-07,0.9362341648280752
0.7828146126034516,1.3134046074233628e-06,0.9520880512416992
0.7967384164941951,1.3134046074233628e-06,0.8856239010594972
0.807029021258888,6.567023037116814e-07,0.8932051262270847
0.8190717364507751,1.9701069111350443e-06,0.8965651627074808
0.831998783204023,1.379074837794531e-05,0.9053052575999396
0.8375000860823141,1.9701069111350443e-06,0.9113647519601641
0.8427615062460632,1.9701069111350443e-06,0.8564727274181834
0.8540816001702343,6.567023037116814e-07,0.8437337319662327
0.8671975440169639,3.940213822270089e-06,0.8425142901551502
0.8837137600027303,2.6268092148467256e-06,0.8387422492015627
0.8947162689599235,2.6268092148467256e-06,0.7888011355551859
0.8994016636164259,2.6268092148467256e-06,0.7904211531439483
0.9084417862164473,2.6268092148467256e-06,0.7295987785010237
0.914629493562467,1.9701069111350443e-06,0.7473503998043407
0.8456504425267042,3.283511518558407e-06,0.7286410538171557
0.7636817017044963,3.283511518558407e-06,0.7638780078183706
0.695495492978961,3.283511518558407e-06,0.9071698492726492
0.6555021754556405,5.253618429693451e-06,0.9453376922378014
0.6399418534367092,1.3134046074233628e-06,0.8019492783064501
0.6319979562606708,6.567023037116814e-07,0.7608328318993177
0.6318081879726867,3.940213822270089e-06,0.7596373903488095
0.6998091779815239,6.567023037116814e-07,0.7558607779170173
0.7128641243846703,6.567023037116814e-07,0.7833336476224598
0.7217664737971106,6.567023037116814e-07,0.8057470338249386
0.7309442036429044,2.6268092148467256e-06,0.8406428412651337
0.7942260160084613,3.940213822270089e-06,0.9726482744669799
0.8066602017581372,6.567023037116814e-07,0.9999999999999999
0.8223321334726394,6.567023037116814e-07,0.9214054324018375
0.8387532786298779,6.567023037116814e-07,0.9245734667976394
0.8502850728178935,6.567023037116814e-07,0.9296083786052534
0.8623784279187356,2.6268092148467256e-06,0.9353472980563788
0.8742095258176832,1.9701069111350443e-06,0.8615996402246653
0.8432985077710411,6.567023037116814e-07,0.7915240222608131
0.8499280490141219,1.9701069111350443e-06,0.7905577260553114
0.8710546954438163,1.5760855289080355e-05,0.7956057808627636
0.8832808869633988,1.9701069111350443e-06,0.8149168476686318
0.888947149829109,2.6268092148467256e-06,0.8243849504651765
0.880404894143922,1.9701069111350443e-06,0.7882948443440243
0.8136211979377972,6.567023037116814e-07,0.8838724534723519
0.7425140123338458,1.3134046074233628e-06,0.934862721366689
0.650511074500046,1.3134046074233628e-06,0.7858393891133675
0.6350355349174341,1.9701069111350443e-06,0.7305467887937068
0.6813121699261835,0.0,0.7756347068911034
0.6839084125113155,6.567023037116814e-07,0.7318868033424363
0.6903839597549073,2.6268092148467256e-06,0.735199982171235
0.7078221346074054,1.3134046074233628e-06,0.8112328076704832
0.768964376248384,6.567023037116814e-07,0.9531914917933394
0.7723416101328269,1.3134046074233628e-06,0.9862484221257258
0.7776638894553187,6.567023037116814e-07,0.8398451183184275
0.7866624298035028,2.6268092148467256e-06,0.83745823526084
0.7949891685632204,6.567023037116814e-07,0.9014172153869099
0.8055528167474444,3.940213822270089e-06,0.8262363991380477
0.8165004542795327,2.6268092148467256e-06,0.812811681955404
0.82938507524341,1.9701069111350443e-06,0.7902765801457272
0.8349872707420554,1.9701069111350443e-06,0.7896394303709583
